gene,pval,logFC,pct_good,pct_bad,padj,cluster,sig
SH3BGRL3,1.31113911317339e-37,-1.68659015495712,0.731,0.991,5.90904175524983e-33,2,TRUE
IGHG3,1.38677495177894e-37,3.2414367890885,0.678,0.183,6.24991735267731e-33,0,TRUE
ITGA6,1.44800587166847e-37,-2.29906780627717,0.125,0.597,6.52587286243545e-33,1,TRUE
PHLDA2,1.51010933724957e-37,-2.39398969294476,0.539,0.875,6.80576076111637e-33,0,TRUE
COL17A1,2.38945048998224e-37,-2.12977082095957,0.135,0.61,1.0768775468252e-32,1,TRUE
TUBB6,3.67886712958585e-37,-3.29433183774216,0.065,0.495,1.65799183796175e-32,0,TRUE
TOB1,8.06026700493561e-37,2.18325012442829,0.734,0.419,3.63260113378438e-32,1,TRUE
IGHA1,8.15907815136107e-37,3.76927285121712,0.982,0.654,3.67713334125541e-32,11,TRUE
ZNF593,8.88553083991917e-37,-1.74163088763711,0.5,0.889,4.00453103893477e-32,0,TRUE
DKK1,2.01578811797694e-36,-9.88215219112302,0,0.461,9.08475389009846e-32,2,TRUE
NR4A1,2.3227631628825e-36,1.51299901524086,0.924,0.721,1.04682290224788e-31,0,TRUE
PNRC1,2.63949622551078e-36,1.45475155457375,0.867,0.687,1.1895681589132e-31,1,TRUE
SERPINE2,4.47383028220091e-36,-2.99938896287617,0.122,0.667,2.0162658315823e-31,2,TRUE
EMP1,4.98361117734473e-36,-1.85758086803053,0.321,0.77,2.24601388540572e-31,1,TRUE
ARHGAP29,8.89432581452009e-36,-2.67079110557498,0.09,0.521,4.00849475808792e-31,1,TRUE
NOP16,1.83309309568638e-35,-2.17042156968063,0.285,0.755,8.26138396363939e-31,0,TRUE
ID2,2.39868947824043e-35,2.07980787016439,0.737,0.435,1.0810413740534e-30,1,TRUE
KRT13,2.76806017462544e-35,-6.71171440849895,0.014,0.478,1.24750935950019e-30,2,TRUE
CEBPD,3.40068962400116e-35,1.89536313882897,0.889,0.684,1.53262279974484e-30,2,TRUE
MUC5AC,3.41765431894812e-35,5.31113152897602,0.556,0.048,1.54026844846354e-30,2,TRUE
SERPINB13,3.77895058109779e-35,-2.35844995714862,0.173,0.613,1.70309744788915e-30,1,TRUE
TXN,4.15042612639863e-35,-1.46626233014095,0.839,0.991,1.87051404664533e-30,2,TRUE
IGLC3,4.99510790358497e-35,4.32681790782257,0.486,0.08,2.25119522998767e-30,1,TRUE
IL1R2,6.20283001167511e-35,-2.77154842188502,0.229,0.759,2.79549142966174e-30,2,TRUE
FOSL1,1.4948675405817e-34,-3.51392613223218,0.058,0.457,6.73706903189362e-30,0,TRUE
MIR4435-2HG,1.57662398713138e-34,-2.80317237821561,0.081,0.505,7.10552898520371e-30,0,TRUE
PHLDA1,2.72259444875186e-34,-1.94715810100468,0.303,0.754,1.22701886616349e-29,1,TRUE
PLAU,3.11502791187447e-34,-3.53472847462771,0.076,0.495,1.40388077932359e-29,0,TRUE
HLA-DRA,3.58159070958977e-34,1.73945535575221,0.88,0.639,1.61415130099792e-29,0,TRUE
